movie_id,language
1794171,英语
1794171,西班牙语
3821067,汉语普通话
3821067,粤语
3821067,日语
1316572,日语
3157605,法语
4206357,英语
1309060,英语
1291580,英语
1291580,日语
1291580,法语
1890572,英语
1890572,罗马尼亚语
1292056,法语
3274505,英语
3274505,手语
1307315,汉语普通话
2027938,粤语
2027938,英语
10484041,日语
1292925,英语
1962116,法语
1962116,英语
1962116,德语
1962116,波斯语
1309016,英语
1309016,爱尔兰盖尔语
3006309,韩语
1307394,日语
1307793,日语
1307793,粤语
1307793,英语
1307793,汉语普通话
1291824,英语
1291824,索马里语
1972729,英语
4319218,英语
4319218,法语
4319218,西班牙语
4319218,德语
1291586,英语
2369845,日语
6880497,日语
1777612,英语
10574468,汉语普通话
10574468,英语
10574468,闽南语
2161696,英语
10537853,汉语普通话
10537853,武汉方言
1294194,闽南语
1294194,汉语普通话
1294194,日语
1294194,上海话
1294194,粤语
1315574,英语
1315574,土耳其语
1315574,希腊语
1315574,汉语普通话
1292484,英语
1292484,捷克语
1292484,乌克兰语
1292484,法语
5323968,英语
5323968,日语
5323968,粤语
5323968,汉语普通话
5323968,俄语
6536180,西班牙语
1759386,英语
1293530,英语
1292348,英语
1298759,英语
1299361,韩语
1309069,英语
1309069,乌尔都语
1309069,汉语普通话
1844413,英语
1292218,葡萄牙语
1292218,德语
1959877,日语
1307739,汉语普通话
1307739,粤语
1291831,意大利语
1296996,英语
6517421,英语
6517421,法语
3743114,韩语
3743114,汉语普通话
10450409,日语
10450409,闽南语
10450409,赛德克语
1783457,英语
10437779,韩语
10437779,汉语普通话
1295646,英语
1295646,世界语
1296217,英语
1296217,西班牙语
7059671,英语
3642843,英语
3642843,克林贡语
1307528,汉语普通话
1307528,河南方言
1292275,德语
1301169,英语
1308779,英语
1308779,日语
1308779,法语
1308779,阿拉伯语
1308779,西班牙语
3552028,英语
3005875,英语
3005875,法语
3005875,藏语
3005875,汉语普通话
3005875,俄语
3005875,印地语
3005875,葡萄牙语
3005875,拉丁语
3005875,意大利语
1292222,英语
1292222,西班牙语
1920805,英语
4847665,英语
1298898,粤语
1793491,英语
1793491,法语
1433360,普通话
1433360,英语
1433360,韩语
1291543,粤语
1291543,汉语普通话
1291543,手语
2076181,英语
2076181,法语
2222996,日语
1418752,英语
1418752,法语
1310177,日语
1300656,英语
1300656,西班牙语
1293088,英语
4873490,汉语普通话
3178770,英语
1432146,英语
1432146,波斯语
1432146,乌尔都语
1432146,阿拉伯语
1305903,英语
1305903,德语
2028666,英语
2028666,葡萄牙语
1303173,汉语普通话
1325958,英语
1325958,葡萄牙语
1305666,英语
1299603,英语
1291936,日语
1291936,英语
1291936,西班牙语
7064681,日语
1299288,粤语
1293749,英语
4914468,英语
1301459,英语
1308820,日语
1298744,英语
10733376,汉语普通话
1300613,英语
1300613,法语
1300613,意大利语
1820156,英语
1292330,汉语普通话
1292330,粤语
1292330,闽南语
4206436,英语
4206436,德语
1298038,英语
1298038,西班牙语
1291565,法语
1291565,葡萄牙语
1306607,英语
6393127,日语
6393127,闽南语
6393127,赛德克语
1291544,英语
1291575,英语
1316580,韩语
1309101,英语
1292523,英语
1292523,西班牙语
1293399,英语
1293399,意大利语
1293399,德语
1863766,英语
1307766,汉语普通话
6879185,英语
1418192,英语
1418192,荷兰语
1301726,英语
1301726,德语
1301726,俄语
3792848,英语
1301445,英语
1301445,西班牙语
2132495,英语
1298128,英语
1309172,英语
1309172,夏威夷语
1309172,汉语普通话
1309172,土耳其语
1756073,汉语普通话
1293203,英语
1300572,汉语普通话
1300572,闽南语
1300572,客家话
11500954,日语
1945330,英语
1769507,法语
6537500,英语
6537500,俄语
6537500,西班牙语
6537500,印度尼西亚语
6537500,粤语
6791750,日语
6791750,法语
6791750,德语
1292055,德语
6057942,韩语
1293764,英语
1293764,苏语
1293764,波尼族语
3094909,英语
4249355,朝鲜语
4304402,葡萄牙语
1291838,日语
1428581,汉语普通话
1294417,粤语
1306505,汉语普通话
1306505,日语
2357162,英语
20388223,粤语
20388223,汉语普通话
1806555,英语
1292225,英语
1308741,汉语普通话
4798707,英语
4798707,法语
3231742,英语
3231742,汉语普通话
3230459,汉语普通话
1300555,英语
1306939,汉语普通话
1306939,英语
1306939,粤语
1301168,汉语普通话
5360889,英语
1293145,英语
1309055,英语
1309055,法语
6538833,英语
10772258,汉语普通话
10772258,粤语
1293351,粤语
1303815,法语
1303246,英语
1303246,斯瓦希里语
1950148,英语
1950148,法语
3275168,英语
3275168,西班牙语
1293323,汉语普通话
1295647,英语
1295647,西班牙语
1295647,德语
4861627,韩语
1300618,英语
4237879,汉语普通话
10576419,英语
1437342,英语
1309199,英语
1309199,西班牙语
1293434,英语
1937502,英语
1937502,达里语
1937502,普什图语
1937502,乌尔都语
1937502,俄语
5308265,汉语普通话
5308265,粤语
1299080,英语
3399559,日语
3550132,韩语
1293527,英语
1857099,英语
1857099,西班牙语
1300056,法语
1300056,英语
1921583,英语
1921583,法语
1921583,盖尔语
1308804,韩语
1291588,德语
1291588,日语
1291588,匈牙利语
1292337,日语
1291842,英语
1297102,英语
1297102,法语
1424334,法语
6097775,英语
6097775,法语
1300616,粤语
1300616,法语
1300616,日语
2063528,四川话
2063528,陕西话
3212221,英语
3233761,英语
1292047,法语
1301106,德语
1301106,英语
1301106,匈牙利语
2124724,汉语普通话
2124724,英语
1433990,英语
1433990,葡萄牙语
1433990,巴西手语
1293013,英语
2051007,英语
1307694,汉语普通话
1307694,粤语
1885124,英语
1308843,英语
1306664,韩语
1306664,英语
1297880,汉语普通话
2044089,英语
2044089,德语
6386345,粤语
6386345,汉语普通话
1293315,粤语
4230918,韩语
1301746,英语
1301746,意大利语
1301746,日语
1295045,英语
1295045,意大利语
3660428,日语
1294183,英语
1307542,英语
1292529,英语
3071441,英语
3071441,韩语
3071441,日语
3071441,法语
3071441,捷克语
4164444,英语
1441238,英语
1441238,汉语普通话
1441238,法语
1297223,粤语
3430271,英语
3430271,索马里语
3430271,法语
3041749,英语
1292048,法语
1292048,波兰语
1292048,罗马尼亚语
1292288,英语
1292267,英语
2146991,英语
2146991,西班牙语
2146991,阿拉伯语
1291584,英语
1291584,汉语普通话
1291584,粤语
1291584,日语
1291584,西班牙语
1308833,韩语
2124703,汉语普通话
2124703,青岛话
2124703,闽南语
2124703,陕西话
2124703,武汉话
2124703,四川话
1421809,汉语普通话
1421809,闽南语
3269068,英语
1329936,粤语
1295873,意大利语
1981242,英语
1981242,西班牙语
1981242,加泰罗尼亚语
1981242,汉语普通话
1300282,英语
1293708,英语
3737102,闽南语
3737102,汉语普通话
1293838,英语
6890730,粤语
6890730,汉语普通话
2982823,日语
19945757,印地语
19945757,英语
1322848,英语
1322848,俄语
1292268,英语
1292268,意大利语
1291868,英语
1291868,粤语
11525673,英语
11525673,法语
11525673,德语
25798222,汉语普通话
25798222,安徽方言
25798222,粤语
25798222,陕西方言
4202982,英语
4202982,冰岛语
4746257,英语
25807345,英语
3804891,汉语普通话
3804891,陕西方言
3804891,甘肃方言
6722879,英语
10485647,英语
10485647,越南语
10485647,法语
21937445,韩语
2209575,英语
2209575,西班牙语
21937452,韩语
25750969,英语
11606328,英语
2133323,英语
24879820,韩语
24741412,日语
6985803,英语
4116480,英语
4116480,索马里语
6803494,英语
6803494,意大利语
6803494,德语
6803494,法语
6803494,西班牙语
