movie_id,composer
1291546,李碧华
3793023,Vidhu Vinod Chopra
3793023,拉吉库马尔·希拉尼
3793023,阿西奇·乔希
1291561,宫崎骏
1292063,文森佐·克拉米
1292063,罗伯托·贝尼尼
1292722,詹姆斯·卡梅隆
1292001,亚利桑德罗·巴里克
1292001,朱塞佩·托纳多雷
2131459,安德鲁·斯坦顿
2131459,吉姆·里尔顿
2131459,彼特·道格特
1929463,扬·马特尔
1929463,大卫·麦基
3011091,Stephen P. Lindsey
3011091,新藤兼人
1295124,托马斯·肯尼利
1295124,斯蒂文·泽里安
1292213,刘镇伟
1292213,吴承恩
1291549,克里斯托夫·巴拉蒂
1291549,Philippe Lopes-Curval
6786002,奥利维·那卡什
6786002,艾力克·托兰达
3319755,罗伯·莱纳
3319755,安德鲁·沙因曼
3319755,文德琳·范·德拉安南
1849031,史帝文·康拉德
1291560,宫崎骏
1292064,安德鲁·尼科尔
1292000,恰克·帕拉尼克
1292000,吉姆·乌尔斯
1291841,马里奥·普佐
1291841,弗朗西斯·福特·科波拉
1309046,安迪·沃卓斯基
1309046,拉娜·沃卓斯基
1299398,刘镇伟
1299398,吴承恩
2129039,鲍勃·彼德森
1907966,克里斯·桑德斯
1907966,柯克·德·米科
3742360,朱苏进
3742360,述平
3742360,姜文
3742360,郭俊立
3742360,危笑
3742360,李不空
3742360,马识途
1307914,麦兆辉
1307914,庄文强
1291828,Carl Paoli
1291828,朱塞佩·托纳多雷
1851857,乔纳森·诺兰
1851857,克里斯托弗·诺兰
