movie_id,director
1293172,贝纳尔多·贝托鲁奇
1862151,宁浩
1291844,詹姆斯·卡梅隆
1865703,今敏
1937946,细田守
1292217,大卫·林奇
1292528,丹尼·博伊尔
2300586,理查德·沙因克曼
2213597,史蒂芬·戴德利
2297265,丹尼斯·甘塞尔
1397546,克里斯托弗·诺兰
4848115,藤森雅也
1291557,王家卫
4915857,皮艾尔·柯芬 
4915857, 克里斯·雷纳德
1302827,史蒂文·斯皮尔伯格
1303394,徐克
1297574,吴宇森
1291822,特瑞·乔治
1294240,弗朗西斯·福特·科波拉
1295865,爱德华·兹威克
1303037,李安
1304102,道格·里曼
1300992,克林特·伊斯特伍德
1295409,吴宇森
1395091,今敏
5964718,阿斯哈·法哈蒂
1295399,黑泽明
1308817,杨·塞谬尔
1866479,乔斯·韦登
1291879,黑泽明
1388216,保罗·哈吉斯
1438652,昆汀·塔伦蒂诺
1306861,杰茜·尼尔森
1305725,艾伦·帕克
1305690,王家卫
1292659,吴宇森
3073124,邓肯·琼斯
1308767,保罗·格林格拉斯
1296909,杰拉尔·乌里
1419936,安德鲁·尼科尔
1292287,李惠民
3007773,理查德·柯蒂斯
1304073,郭在容
1307811,宫崎骏
2053515,约翰·卡尼
1966182,彼得·杰克逊
1302467,安迪·沃卓斯基 
1302467, 拉娜·沃卓斯基
1292062,萨姆·门德斯
1292270,达伦·阿伦诺夫斯基
3530403,汤姆·提克威 
3530403, 拉娜·沃卓斯基 
3530403, 安迪·沃卓斯基
1292233,斯坦利·库布里克
1294638,史蒂文·斯皮尔伯格
1308575,易智言
1300117,安德鲁·尼科尔
1291853,安东尼·明格拉
1291568,小津安二郎
1905462,西恩·潘
3072086,马克·韦布
4305436,彭浩翔
1293964,茂文·勒鲁瓦
1959195,神山征二郎
1292214,布莱恩·辛格
1308857,陆川
3789848,丹·斯坎伦
6549903,本·阿弗莱克
2365260,楚克‧萨克瑞科
3993559,魏德圣
3217169,加文·欧康诺
1292286,郭在容
3731581,卡洛斯·沙尔丹哈
6019180,金英卓
3205624,大卫·芬奇
1867345,罗伯·莱纳
3824274,莫娜·阿查切
1301171,盖·里奇
2363506,阿米尔·汗 
2363506, 阿莫尔·古普特
1298653,罗伯特·泽米吉斯
1292728,迈克尔·贝
4798888,彼得·沃纳
1299327,尼尔·乔丹
1428175,爱德华·兹威克
11529526,陈可辛
3649049,张艺谋
1293181,阿尔弗雷德·希区柯克
5977835,许鞍华
3793783,阿方索·卡隆
3824672,郑芬芬
1293460,斯坦利·多南 
1293460, 吉恩·凯利
10535568,阿布戴·柯西胥
1307106,刘伟强 
1307106, 麦兆辉
1482072,大卫·弗兰科尔
1291992,雷德利·斯科特
3233635,余仁英
3168089,马修·沃恩
1300374,弗兰克·德拉邦特
6537486,弗朗索瓦·欧容
4826419,张哲洙
3726072,王家卫
1297478,加美·尤伊斯
1296753,迈克尔·柯蒂斯
1300960,吕克·贝松
1308777,米歇尔·冈瑞
1300741,杜琪峰
3011308,佐米·希尔拉
1292226,斯坦利·库布里克
3006772,尼尔·布洛姆坎普
3734112,陈国富 
3734112, 高群书
1292329,杨德昌
4876722,张猛
10574622,徐峥
1302476,袁建滔
1401118,赛尔乔·莱翁内
1293908,查理·卓别林
1828115,李安
2124586,皮埃尔·莫瑞尔
5908478,秋昌民
1304141,安迪·沃卓斯基 
1304141, 拉娜·沃卓斯基
1301617,莱塞·霍尔斯道姆
1293929,克林特·伊斯特伍德
4191644,罗勒·莎菲
1308865,朴赞郁
3364223,巴兹·鲁赫曼
1297518,王晶
1794171,迈克尔·贝
3821067,王家卫
1316572,崔洋一
3157605,劳伦·泰拉德
4206357,大卫·芬奇
1309060,蒂姆·波顿 
1309060, Mike Johnson
1291580,昆汀·塔伦蒂诺
1890572,塔西姆·辛
1292056,费利普·弥勒
3274505,鲁伯特·瓦耶特
1307315,严定宪 
1307315, 王树忱 
1307315, 徐景达
2027938,杜琪峰 
2027938, 韦家辉
10484041,冲田修一
1292925,罗伯·莱纳
1962116,文森特·帕兰德 
1962116, 玛嘉·莎塔琵
1309016,克林特·伊斯特伍德
3006309,罗宏镇
1307394,今敏
1307793,岩井俊二
1291824,雷德利·斯科特
1972729,肖恩·利维
4319218,伍迪·艾伦
1291586,安德鲁·斯坦顿 
1291586, 李·昂克里奇
2369845,西谷弘
6880497,内田贤治
1777612,乔纳森·戴顿 
1777612, 维莱莉·法瑞斯
10574468,薛晓路
2161696,肯·卡皮斯
10537853,王竞
1294194,侯孝贤
1315574,戈尔·维宾斯基
1292484,布莱恩·德·帕尔玛
5323968,吉尔莫·德尔·托罗
6536180,安德雷斯·拜兹
1759386,韦斯·安德森
1293530,雷德利·斯科特
1292348,柯蒂斯·汉森
1298759,拉斯·冯·提尔
1299361,李廷香
1309069,克里斯托弗·诺兰
1844413,科斯汀·谢里丹
1292218,沃尔特·塞勒斯
1959877,宫崎骏
1307739,李力持 
1307739, 周星驰
1291831,马可·图利欧·吉欧达纳
1296996,克里斯·哥伦布
6517421,路易斯·莱特里尔
3743114,罗宏镇
10450409,魏德圣
1783457,马克·奥斯本 
1783457, 约翰·斯蒂文森
10437779,朴勋政
1295646,查理·卓别林
1296217,格里高利·霍布里特
7059671,朱塞佩·托纳多雷
3642843,J·J·艾布拉姆斯
1307528,李杨
1292275,汤姆·提克威
1301169,史蒂芬·戴德利
1308779,罗兰·艾默里奇
3552028,约翰·李·汉考克
3005875,罗兰·艾默里奇
1292222,马丁·斯科塞斯
1920805,朱里安·杰拉德
4847665,斯蒂芬·切波斯基
1298898,杜琪峰
1793491,布拉德·伯德 
1793491, 简·皮克瓦
1433360,刘伟强
1291543,周星驰
2076181,雅克·范·多梅尔
2222996,是枝裕和
1418752,伊恩·索夫特雷
1310177,今敏
1300656,詹姆斯·卡梅隆
1293088,克里斯·哥伦布
4873490,滕华涛
3178770,康拉德·弗农 
3178770, 埃里克·达尼尔 
3178770, 汤姆·麦格拉思
1432146,乔恩·费儒
1305903,文森佐·纳塔利
2028666,克林特·伊斯特伍德
1303173,冯小刚
1325958,布莱克·爱德华兹
1305666,史蒂芬·戴德利
1299603,昆汀·塔伦蒂诺
1291936,押井守
7064681,细田守
1299288,关锦鹏
1293749,弗兰克·卡普拉
4914468,麦克·特米尔 
4914468, 史蒂夫·马蒂诺
1301459,亚历杭德罗·阿梅纳瓦尔
1308820,岩井俊二
1298744,特瑞·吉列姆
10733376,张荣吉
1300613,哈罗德·雷米斯
1820156,弗朗西斯·劳伦斯
1292330,侯孝贤
4206436,史蒂文·斯皮尔伯格
1298038,罗杰·米歇尔
1291565,西维亚·乔迈
1306607,Iain Softley
6393127,魏德圣
1291544,阿方索·卡隆
1291575,约翰·拉塞特
1316580,金基德
1309101,蒂姆·波顿
1292523,史蒂文·斯皮尔伯格
1293399,米洛斯·福尔曼
1863766,内森·格雷诺 
1863766, 拜伦·霍华德
1307766,霍建起
6879185,史蒂夫·麦奎因
1418192,戈尔·维宾斯基
1301726,让-雅克·阿诺
3792848,泰特·泰勒
1301445,巴里·索南菲尔德
2132495,贾森·雷特曼
1298128,诺拉·艾芙隆
