movie_id,region
24850017,Switzerland_瑞士
24850017,Germany_德国
24850017,South Africa_南非
11584019,Ireland_爱尔兰
11584019,Denmark_丹麦
11584019,Belgium_比利时
11584019,Luxembourg_卢森堡
11584019,France_法国
10727845,United States of America_美国
25823076,Italy_意大利
10581884,United Kingdom_英国
10581884,United States of America_美国
10581884,Russia_俄罗斯
24523811,United States of America_美国
20270421,China_台湾
26280561,China_台湾
26280561,China_中国大陆
24696717,Japan_日本
25755250,United States of America_美国
25755250,United Kingdom_英国
22266974,United States of America_美国
25861680,Japan_日本
10796578,South Korea_韩国
25842340,Australia_澳大利亚
4206507,United States of America_美国
7015586,United States of America_美国
25884874,Japan_日本
25814705,Japan_日本
25905892,Japan_日本
25875053,China_中国大陆
25875053,China_台湾
21767208,Japan_日本
24879206,United Kingdom_英国
20284797,United Kingdom_英国
20284797,France_法国
5327400,Germany_德国
5327400,Canada_加拿大
5327400,United Kingdom_英国
5327400,South Africa_南非
25741353,Japan_日本
25806698,China_中国大陆
24750126,Argentina_阿根廷
24750126,Spain_西班牙
20561487,Germany_德国
24735122,United States of America_美国
24735122,United Kingdom_英国
24735122,France_法国
24694696,United States of America_美国
25747610,Japan_日本
20494466,France_法国
10543692,Japan_日本
21793611,United States of America_美国
24750968,United States of America_美国
25670379,United States of America_美国
25836143,United States of America_美国
20275845,India_印度
25780555,United States of America_美国
24876979,United Kingdom_英国
25858785,China_香港
25858785,China_中国大陆
4202983,United States of America_美国
4202983,Germany_德国
25762403,South Korea_韩国
26301742,China_中国大陆
25762404,South Korea_韩国
24858413,Japan_日本
3993588,China_中国大陆
3993588,France_法国
23010202,Japan_日本
10486471,United States of America_美国
25747028,South Korea_韩国
22747237,Ireland_爱尔兰
25931607,United States of America_美国
11528271,United States of America_美国
25886498,China_台湾
3036472,United States of America_美国
21267670,Japan_日本
24737161,China_中国大陆
25806368,France_法国
24522651,United Kingdom_英国
24522651,Lithuania_立陶宛
20490940,France_法国
25723328,United States of America_美国
25723328,Canada_加拿大
5327474,United States of America_美国
10755696,United States of America_美国
25741354,Japan_日本
24885205,United States of America_美国
24885205,United Kingdom_英国
10733937,France_法国
25795972,China_台湾
25795972,Myanmar_缅甸
24525283,Russia_俄罗斯
7155005,Sweden_瑞典
7155005,France_法国
7155005,Norway_挪威
7155005,Denmark_丹麦
25879014,United Kingdom_英国
19976774,France_法国
19976774,Switzerland_瑞士
19976774,Germany_德国
19976774,United States of America_美国
19976774,Belgium_比利时
24839508,South Korea_韩国
25980500,United States of America_美国
25733490,Italy_意大利
25818840,United Kingdom_英国
24869803,Estonia_爱沙尼亚
24869803,Georgia_格鲁吉亚
25738793,Japan_日本
20395150,Japan_日本
21323275,Japan_日本
21323275,Spain_西班牙
21323275,France_法国
25805036,Netherlands_荷兰
24706561,United States of America_美国
24706561,France_法国
24706561,Brazil_巴西
24706561,Greece_希腊
25909566,New Zealand_新西兰
10764054,United States of America_美国
25945491,United States of America_美国
19997896,China_中国大陆
24153243,United States of America_美国
25795310,Japan_日本
3011022,United States of America_美国
24706496,United Kingdom_英国
20515015,Australia_澳大利亚 Australia
25726142,United States of America_美国
4109746,United States of America_美国
10758799,Norway_挪威
25740192,United Kingdom_英国
4301659,United States of America_美国
21319853,United Kingdom_英国
21319853,France_法国
21319853,Germany_德国
24870630,Japan_日本
25770733,United States of America_美国
25794230,New Zealand_新西兰
25794230,United States of America_美国
22254890,Austria_奥地利
22254890,Germany_德国
20436812,United States of America_美国
21965464,United States of America_美国
25823638,Thailand_泰国
10465148,Switzerland_瑞士
10465148,France_法国
25862591,Argentina_阿根廷
24869399,Italy_意大利
3439317,United Kingdom_英国
3439317,United States of America_美国
3439317,Sweden_瑞典
3439317,Denmark_丹麦
25747030,South Korea_韩国
25927387,United States of America_美国
25769362,Japan_日本
25857885,Japan_日本
25815008,United States of America_美国
25815008,France_法国
25815008,United Kingdom_英国
25823035,South Korea_韩国
24696982,United States of America_美国
21770915,Turkey_土耳其
21770915,France_法国
21770915,Germany_德国
7065161,South Korea_韩国
25700831,China_中国大陆
24697539,United States of America_美国
24311267,United States of America_美国
25753339,Japan_日本
25903068,Thailand_泰国
25885962,United States of America_美国
20468389,France_法国
24869824,Japan_日本
19974285,France_法国
19974285,Spain_西班牙
19974285,United States of America_美国
24304229,Denmark_丹麦
24304229,United Kingdom_英国
24304229,South Africa_南非
23776064,Japan_日本
1292052,United States of America_美国
3541415,United States of America_美国
3541415,United Kingdom_英国
1295644,France_法国
1292720,United States of America_美国
1291546,China_中国大陆
1291546,China_香港
3793023,India_印度
1291561,Japan_日本
1292063,Italy_意大利
1292722,United States of America_美国
1292001,Italy_意大利
2131459,United States of America_美国
1929463,United States of America_美国
1929463,China_台湾
1929463,United Kingdom_英国
1929463,Canada_加拿大
3011091,United States of America_美国
3011091,United Kingdom_英国
1295124,United States of America_美国
1292213,China_香港
1292213,China_中国大陆
1291549,France_法国
1291549,Germany_德国
